EmployeeNumber,Age,Gender,Department,JobRole,DistanceFromHome,MonthlyIncome,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,Attrition,OverTime,MaritalStatus,BusinessTravel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,NumCompaniesWorked,StockOptionLevel
262,43,Male,Research & Development,Research Scientist,7,2089,3,4,4,4,3,4,4,No,No,Divorced,Non-Travel,5,4,2,7,3,4,3
264,45,Male,Research & Development,Manager,2,16792,2,1,2,4,4,4,3,No,No,Married,Non-Travel,20,8,8,22,1,9,1
267,37,Male,Research & Development,Research Scientist,21,3564,3,2,4,1,3,1,2,No,Yes,Married,Travel_Rarely,8,7,7,8,3,1,1
269,35,Female,Research & Development,Laboratory Technician,2,4425,3,2,3,2,3,4,3,No,No,Single,Travel_Frequently,6,2,2,10,5,5,0
270,42,Female,Research & Development,Manufacturing Director,21,5265,2,3,3,3,3,2,3,No,No,Divorced,Non-Travel,5,3,2,11,5,2,1
271,38,Male,Research & Development,Manufacturing Director,2,6553,4,4,3,3,3,2,3,No,No,Married,Travel_Rarely,1,0,0,14,3,9,0
273,38,Male,Research & Development,Manufacturing Director,29,6261,3,4,3,4,3,1,1,No,No,Married,Travel_Rarely,7,7,7,9,3,3,1
274,27,Male,Research & Development,Manufacturing Director,1,4298,1,3,2,1,3,3,3,No,No,Married,Travel_Frequently,2,2,0,6,1,5,1
275,49,Male,Research & Development,Manufacturing Director,18,6804,4,4,3,4,3,1,3,No,Yes,Divorced,Non-Travel,7,7,7,7,0,1,2
277,34,Male,Research & Development,Research Scientist,10,3815,4,4,3,3,3,4,4,No,Yes,Divorced,Travel_Frequently,5,3,0,5,4,1,1
281,40,Male,Research & Development,Laboratory Technician,19,2741,2,3,3,4,3,3,4,No,Yes,Married,Travel_Rarely,7,2,7,15,2,8,1
282,38,Male,Research & Development,Healthcare Representative,29,6673,1,2,3,1,3,2,3,Yes,Yes,Married,Travel_Rarely,1,0,0,17,2,7,0
283,29,Female,Sales,Sales Executive,27,7639,3,2,3,4,4,4,2,Yes,No,Married,Travel_Rarely,10,4,9,10,3,1,3
284,22,Male,Research & Development,Research Scientist,5,2328,3,4,4,2,3,1,2,No,Yes,Divorced,Travel_Rarely,4,2,2,4,2,1,1
286,36,Female,Research & Development,Laboratory Technician,18,2153,1,2,3,4,3,1,3,No,No,Single,Travel_Frequently,8,1,7,8,2,1,0
287,40,Male,Research & Development,Healthcare Representative,9,4876,5,4,2,4,3,4,1,No,No,Married,Non-Travel,3,2,2,5,5,9,1
288,46,Male,Research & Development,Healthcare Representative,1,9396,4,4,3,1,3,3,3,No,No,Divorced,Travel_Rarely,4,2,3,17,3,7,1
291,32,Male,Sales,Sales Executive,4,10400,4,4,1,4,3,3,2,Yes,No,Married,Travel_Rarely,14,8,8,14,2,1,0
292,30,Male,Research & Development,Manufacturing Director,1,8474,1,3,2,3,4,3,3,No,No,Single,Non-Travel,11,8,8,12,2,1,0
293,27,Female,Sales,Sales Executive,20,9981,3,4,3,3,3,4,3,No,No,Single,Travel_Frequently,7,7,7,7,2,1,0
296,51,Male,Research & Development,Research Director,8,12490,4,2,2,2,3,4,1,No,No,Married,Travel_Rarely,10,9,7,16,5,5,2
297,30,Female,Research & Development,Research Scientist,3,2657,3,4,3,1,3,3,3,Yes,Yes,Single,Travel_Rarely,5,2,4,8,5,5,0
298,41,Female,Sales,Manager,6,13591,3,4,3,4,3,3,3,No,Yes,Single,Travel_Rarely,1,0,0,16,3,3,0
299,30,Female,Sales,Sales Executive,26,6696,4,3,2,1,3,3,2,Yes,No,Single,Travel_Frequently,6,3,1,9,5,5,0
300,29,Male,Research & Development,Research Scientist,1,2058,3,3,3,3,3,4,2,Yes,No,Single,Travel_Rarely,6,2,5,7,1,0,0
302,45,Female,Sales,Sales Executive,6,8865,3,4,2,4,3,4,3,No,No,Single,Non-Travel,19,7,8,23,2,6,0
303,54,Female,Sales,Sales Executive,3,5940,3,4,3,1,3,4,3,No,No,Married,Travel_Rarely,6,2,5,16,4,2,1
304,36,Male,Research & Development,Laboratory Technician,5,5914,2,4,3,2,3,4,4,No,No,Single,Travel_Rarely,13,11,7,16,3,8,0
305,33,Female,Research & Development,Research Scientist,4,2622,4,3,2,2,4,4,3,No,No,Married,Travel_Rarely,3,2,1,7,3,6,0
306,37,Male,Research & Development,Research Director,11,12185,3,2,3,4,3,3,3,No,Yes,Divorced,Travel_Frequently,10,8,7,10,1,1,3
307,38,Male,Sales,Sales Executive,3,10609,3,1,3,3,3,3,2,No,No,Divorced,Travel_Rarely,16,10,13,17,6,0,2
308,31,Male,Research & Development,Manufacturing Director,1,4345,4,3,1,3,3,4,3,No,No,Married,Non-Travel,5,4,4,6,2,0,1
309,59,Male,Research & Development,Research Scientist,3,2177,3,3,2,4,3,1,3,No,No,Married,Travel_Rarely,1,0,0,7,6,3,1
311,37,Male,Sales,Sales Representative,4,2793,4,1,3,4,3,3,3,No,No,Divorced,Travel_Frequently,9,8,8,13,2,4,1
312,29,Female,Sales,Sales Executive,1,7918,1,2,3,4,3,4,3,No,No,Married,Travel_Frequently,11,10,1,11,5,1,1
314,35,Female,Sales,Sales Executive,1,8789,3,3,3,3,3,1,4,No,No,Single,Travel_Frequently,10,7,8,10,3,1,0
315,29,Male,Research & Development,Research Scientist,18,2389,1,3,2,4,3,3,2,Yes,Yes,Single,Travel_Rarely,4,3,1,4,3,1,0
316,52,Female,Research & Development,Laboratory Technician,2,3212,3,3,2,4,3,2,2,No,No,Single,Travel_Rarely,2,2,2,6,3,7,0
319,42,Male,Research & Development,Manager,4,19232,2,3,3,4,3,4,3,No,No,Married,Travel_Rarely,22,17,15,22,3,1,0
321,59,Male,Human Resources,Human Resources,6,2267,2,2,3,3,3,4,2,No,No,Married,Travel_Rarely,2,2,2,7,2,8,0
323,50,Female,Sales,Manager,1,19517,4,4,3,4,3,3,2,No,No,Divorced,Travel_Rarely,7,0,6,32,3,3,1
325,33,Male,Research & Development,Laboratory Technician,14,2436,3,3,3,4,3,3,1,Yes,Yes,Married,Travel_Rarely,5,4,4,8,2,5,1
327,43,Female,Sales,Manager,16,16064,3,4,3,4,4,3,3,No,Yes,Married,Travel_Rarely,17,13,9,22,3,5,1
328,33,Female,Research & Development,Laboratory Technician,2,2707,2,1,3,1,4,1,4,Yes,No,Married,Travel_Rarely,9,7,7,13,3,7,0
329,52,Male,Sales,Manager,2,19068,4,1,2,3,3,4,4,No,Yes,Single,Non-Travel,33,7,12,33,2,1,0
330,32,Female,Sales,Sales Representative,4,3931,2,3,3,2,3,1,3,No,No,Married,Travel_Rarely,4,3,2,6,5,2,1
331,32,Male,Research & Development,Laboratory Technician,1,3730,3,4,2,3,3,4,1,Yes,Yes,Single,Travel_Rarely,3,2,2,4,2,0,0
332,39,Female,Research & Development,Laboratory Technician,1,2232,4,3,3,3,3,3,3,No,No,Divorced,Travel_Rarely,3,2,2,7,1,7,3
333,32,Male,Sales,Sales Executive,26,4465,4,3,3,4,3,1,3,No,No,Married,Non-Travel,3,2,2,4,2,0,0
334,41,Male,Research & Development,Research Scientist,19,3072,2,3,3,1,3,1,2,No,No,Divorced,Travel_Rarely,1,0,0,17,2,2,2
335,40,Male,Research & Development,Research Scientist,24,3319,2,1,3,4,3,1,3,No,No,Divorced,Travel_Rarely,9,8,7,9,3,1,2
336,45,Male,Research & Development,Manager,1,19202,3,3,4,4,3,3,3,No,No,Married,Travel_Rarely,24,0,7,25,2,0,1
337,31,Male,Research & Development,Research Director,3,13675,4,2,3,3,3,1,3,No,No,Divorced,Travel_Frequently,2,2,2,9,3,9,1
338,33,Female,Research & Development,Research Scientist,5,2911,4,3,2,4,3,3,2,No,No,Married,Travel_Rarely,2,2,2,2,2,1,1
339,34,Male,Research & Development,Manufacturing Director,2,5957,4,4,2,1,3,2,3,No,No,Married,Travel_Rarely,11,9,9,13,3,6,1
340,37,Female,Research & Development,Research Scientist,1,3920,2,3,2,1,3,1,2,No,No,Married,Travel_Rarely,3,1,2,17,2,2,1
341,45,Male,Research & Development,Manufacturing Director,7,6434,4,1,4,3,3,4,3,No,No,Married,Travel_Frequently,3,2,2,9,1,4,1
342,37,Male,Research & Development,Manufacturing Director,10,10048,3,1,3,3,3,2,3,Yes,No,Divorced,Travel_Frequently,1,0,0,17,5,6,2
343,39,Female,Research & Development,Healthcare Representative,2,10938,4,3,3,3,4,4,3,No,No,Single,Travel_Frequently,19,6,8,20,1,0,0
346,29,Male,Research & Development,Research Scientist,15,2340,3,3,3,4,3,1,3,No,No,Single,Travel_Rarely,6,5,5,6,1,1,0
347,42,Female,Research & Development,Research Scientist,17,6545,2,4,4,1,3,3,3,No,Yes,Single,Travel_Rarely,3,2,2,10,1,3,0
349,29,Male,Sales,Sales Executive,20,6931,2,4,3,4,3,4,3,No,No,Divorced,Travel_Rarely,3,2,2,10,2,2,1
350,25,Female,Research & Development,Manufacturing Director,1,4898,3,1,3,3,3,4,3,No,No,Married,Travel_Rarely,4,2,2,5,3,0,2
351,42,Female,Research & Development,Laboratory Technician,2,2593,3,4,2,1,3,3,3,No,Yes,Divorced,Travel_Rarely,9,6,8,10,4,0,1
352,40,Male,Research & Development,Research Director,2,19436,2,1,3,3,3,4,3,No,No,Divorced,Travel_Rarely,21,7,9,22,5,0,1
353,51,Male,Research & Development,Research Scientist,1,2723,3,3,3,4,3,2,2,No,No,Married,Travel_Rarely,1,0,0,1,0,1,0
355,31,Male,Research & Development,Laboratory Technician,29,3479,2,3,2,2,3,2,4,Yes,No,Single,Travel_Frequently,5,4,4,6,2,0,0
359,32,Male,Research & Development,Laboratory Technician,7,2794,3,2,4,2,4,3,1,No,No,Married,Travel_Frequently,5,1,3,5,3,1,0
361,38,Male,Sales,Sales Executive,2,5249,2,4,2,4,3,4,3,No,No,Married,Non-Travel,8,7,5,13,0,3,1
362,32,Male,Research & Development,Laboratory Technician,2,2176,1,4,2,1,3,4,3,No,No,Single,Travel_Rarely,6,2,4,9,5,4,0
363,46,Female,Sales,Manager,2,16872,3,3,1,2,3,2,2,No,Yes,Married,Travel_Rarely,7,7,7,28,2,3,1
364,28,Male,Research & Development,Laboratory Technician,2,3485,4,1,3,3,3,3,1,Yes,No,Single,Travel_Rarely,0,0,0,5,5,2,0
366,29,Male,Sales,Sales Executive,2,6644,3,1,2,2,3,2,3,No,No,Married,Travel_Rarely,0,0,0,10,2,2,2
367,31,Male,Research & Development,Healthcare Representative,23,5582,3,2,2,4,4,2,3,No,No,Married,Travel_Rarely,9,0,8,10,2,0,1
369,25,Male,Research & Development,Healthcare Representative,5,4000,2,2,4,1,3,4,3,No,No,Divorced,Non-Travel,6,3,5,6,2,1,2
372,45,Male,Research & Development,Healthcare Representative,20,13496,2,3,3,4,3,2,3,No,Yes,Married,Travel_Rarely,20,7,10,21,2,0,0
373,36,Male,Research & Development,Laboratory Technician,6,3210,3,4,3,4,3,3,3,No,No,Married,Travel_Rarely,15,13,11,16,4,0,1
374,55,Male,Research & Development,Manager,1,19045,3,4,3,1,3,3,3,No,Yes,Single,Travel_Rarely,36,10,13,37,2,0,0
376,47,Male,Research & Development,Manager,29,11849,4,1,3,2,3,4,2,Yes,Yes,Married,Non-Travel,10,7,9,10,2,1,1
377,28,Male,Research & Development,Research Scientist,9,2070,3,4,3,4,4,4,2,No,No,Married,Travel_Rarely,5,2,4,5,3,1,1
378,37,Male,Sales,Sales Executive,6,6502,4,3,3,4,3,2,4,No,No,Married,Travel_Rarely,5,4,1,7,5,4,1
379,21,Male,Research & Development,Research Scientist,3,3230,2,4,2,3,3,1,4,No,No,Single,Travel_Rarely,3,2,0,3,4,1,0
380,37,Female,Research & Development,Research Director,1,13603,4,1,3,4,3,1,3,No,Yes,Divorced,Non-Travel,5,2,2,15,2,2,2
381,35,Female,Research & Development,Manager,22,11996,3,2,4,2,3,2,2,No,No,Divorced,Travel_Rarely,7,7,2,10,6,7,1
382,38,Female,Sales,Sales Executive,7,5605,2,1,4,1,4,3,3,No,Yes,Divorced,Travel_Rarely,8,0,7,8,3,1,1
384,26,Female,Research & Development,Manufacturing Director,1,6397,3,3,3,2,4,1,1,No,No,Divorced,Travel_Frequently,6,5,4,6,6,1,1
385,50,Male,Research & Development,Research Director,4,19144,1,1,3,2,3,1,2,No,No,Divorced,Travel_Rarely,10,4,6,28,4,3,2
386,53,Male,Research & Development,Research Director,3,17584,4,3,3,3,3,4,2,No,Yes,Married,Travel_Rarely,5,3,3,21,5,3,3
387,42,Male,Sales,Sales Executive,1,4907,1,2,3,3,4,3,3,No,No,Married,Travel_Rarely,20,16,6,20,3,1,0
388,29,Male,Sales,Sales Executive,2,4554,2,2,3,4,3,1,2,No,No,Single,Travel_Frequently,10,7,9,10,3,1,0
389,55,Male,Research & Development,Laboratory Technician,20,5415,2,2,3,4,3,4,3,No,Yes,Married,Travel_Rarely,10,7,8,12,4,3,1
390,26,Male,Research & Development,Healthcare Representative,11,4741,2,1,3,1,3,3,3,No,Yes,Married,Travel_Frequently,5,3,3,5,3,1,1
391,37,Female,Research & Development,Research Scientist,1,2115,3,4,3,4,3,2,3,No,No,Single,Travel_Rarely,17,12,7,17,3,1,0
392,44,Male,Research & Development,Laboratory Technician,24,3161,3,4,3,3,4,4,1,Yes,Yes,Divorced,Travel_Frequently,1,0,0,19,0,3,1
393,38,Male,Research & Development,Healthcare Representative,23,5745,4,4,3,4,3,2,3,No,No,Divorced,Travel_Rarely,2,2,2,10,2,9,1
394,26,Male,Research & Development,Laboratory Technician,16,2373,4,1,3,2,3,4,3,Yes,Yes,Divorced,Travel_Rarely,3,2,2,5,2,2,1
395,28,Female,Research & Development,Research Scientist,8,3310,2,4,3,4,4,4,3,No,No,Single,Travel_Rarely,5,3,2,5,3,1,0
396,49,Female,Research & Development,Research Director,10,18665,4,3,3,1,3,4,3,No,Yes,Single,Travel_Frequently,3,2,2,22,4,9,0
397,36,Male,Research & Development,Research Scientist,3,4485,3,3,3,2,3,4,3,No,No,Single,Travel_Rarely,8,0,7,10,2,4,0
399,31,Female,Sales,Sales Representative,5,2789,3,4,3,2,3,3,2,No,No,Divorced,Travel_Frequently,2,2,2,2,5,1,1
401,26,Male,Sales,Sales Executive,4,5828,4,4,2,4,3,2,3,Yes,Yes,Single,Travel_Rarely,8,7,4,8,0,1,0
403,37,Male,Research & Development,Research Scientist,9,2326,3,2,3,4,3,3,2,No,Yes,Married,Travel_Frequently,4,2,2,4,3,1,3
404,42,Female,Sales,Sales Executive,26,13525,3,3,3,2,3,4,4,No,No,Married,Travel_Frequently,20,4,8,23,2,5,1
405,18,Male,Research & Development,Laboratory Technician,3,1420,3,3,3,3,3,3,3,Yes,No,Single,Travel_Rarely,0,0,0,0,2,1,0
406,35,Male,Sales,Sales Executive,16,8020,3,3,3,2,3,3,2,No,No,Married,Travel_Rarely,11,9,9,12,3,0,2
407,36,Male,Research & Development,Laboratory Technician,18,3688,4,3,4,4,3,4,3,No,No,Married,Travel_Frequently,1,0,0,4,2,4,2
408,51,Male,Research & Development,Manufacturing Director,2,5482,3,4,1,2,3,4,3,No,No,Divorced,Travel_Rarely,4,1,2,13,3,5,1
410,41,Male,Sales,Manager,2,16015,4,4,3,2,3,2,3,No,No,Single,Travel_Rarely,22,10,4,22,2,1,0
411,18,Female,Sales,Sales Representative,10,1200,3,4,2,3,3,1,3,No,No,Single,Travel_Rarely,0,0,0,0,2,1,0
412,28,Male,Research & Development,Healthcare Representative,16,5661,2,2,4,1,3,3,3,No,No,Single,Travel_Rarely,8,3,7,9,2,0,0
416,31,Male,Sales,Sales Executive,7,6929,3,2,4,4,3,2,2,No,No,Married,Travel_Rarely,8,7,7,10,3,4,1
417,39,Male,Research & Development,Healthcare Representative,1,9613,3,3,4,4,3,1,2,No,No,Divorced,Travel_Rarely,18,10,7,19,5,0,3
419,36,Female,Research & Development,Laboratory Technician,24,5674,4,2,3,2,3,3,3,No,No,Married,Non-Travel,9,8,8,11,3,7,1
420,32,Male,Sales,Sales Executive,7,5484,3,4,2,3,3,3,2,No,No,Married,Travel_Rarely,13,8,8,13,3,1,1
421,38,Female,Research & Development,Research Director,25,12061,2,1,2,2,3,3,3,No,No,Married,Travel_Rarely,10,8,1,19,2,3,1
422,58,Male,Research & Development,Healthcare Representative,1,5660,4,4,1,3,3,4,3,No,Yes,Divorced,Non-Travel,5,3,2,12,2,2,1
423,31,Male,Research & Development,Research Scientist,5,4821,4,3,3,4,3,3,3,No,Yes,Married,Travel_Rarely,5,2,3,6,4,0,1
424,31,Male,Human Resources,Human Resources,2,6410,3,1,2,1,3,4,3,No,No,Married,Travel_Rarely,2,2,0,9,1,3,0
425,45,Male,Research & Development,Laboratory Technician,7,5210,3,1,3,1,3,1,3,No,No,Divorced,Travel_Frequently,24,9,11,24,2,1,1
426,31,Male,Research & Development,Research Scientist,2,2695,4,3,3,4,3,2,1,No,Yes,Divorced,Travel_Rarely,2,2,2,3,2,0,1
428,33,Female,Research & Development,Manager,5,11878,4,4,3,2,3,2,3,No,No,Married,Travel_Frequently,10,6,8,12,2,6,2
429,39,Male,Research & Development,Manager,10,17068,1,3,3,1,3,4,3,No,Yes,Married,Travel_Rarely,21,9,10,21,3,1,0
430,43,Female,Research & Development,Laboratory Technician,10,2455,4,3,3,4,3,1,3,No,No,Single,Travel_Frequently,8,7,7,9,5,0,0
431,49,Female,Research & Development,Healthcare Representative,1,13964,2,3,2,3,3,4,3,No,Yes,Single,Travel_Rarely,7,1,7,25,2,7,0
433,52,Male,Research & Development,Research Scientist,8,4941,4,3,2,2,3,1,2,Yes,No,Married,Travel_Rarely,8,2,7,11,3,2,0
434,27,Female,Research & Development,Research Scientist,5,2478,3,3,3,2,3,2,2,No,Yes,Single,Travel_Rarely,4,3,2,4,2,1,0
436,32,Female,Sales,Sales Executive,8,5228,2,3,2,2,3,4,3,No,Yes,Married,Travel_Rarely,13,12,9,13,2,1,0
437,27,Male,Sales,Sales Executive,2,4478,3,4,3,3,3,1,3,No,Yes,Single,Travel_Rarely,5,4,4,5,3,1,0
438,31,Male,Sales,Sales Executive,7,7547,3,4,3,4,3,4,3,No,No,Divorced,Travel_Rarely,7,7,7,13,3,4,3
439,32,Female,Research & Development,Research Scientist,2,5055,4,1,4,4,3,3,2,No,No,Single,Travel_Rarely,7,7,7,10,0,7,0
440,28,Male,Research & Development,Research Scientist,2,3464,4,1,1,4,3,4,2,Yes,Yes,Married,Travel_Rarely,3,2,2,5,4,5,0
441,30,Female,Research & Development,Research Scientist,28,5775,2,4,3,4,3,4,3,No,No,Married,Travel_Rarely,10,8,9,11,2,1,2
442,31,Female,Research & Development,Manufacturing Director,7,8943,2,3,2,3,4,1,3,No,No,Married,Travel_Frequently,10,9,9,10,2,1,1
444,39,Male,Research & Development,Manager,7,19272,2,3,2,4,3,1,3,No,No,Married,Travel_Frequently,21,9,3,21,2,1,1
445,39,Female,Sales,Sales Executive,3,5238,2,4,3,3,3,1,2,Yes,Yes,Married,Travel_Rarely,1,0,0,12,3,4,0
446,33,Male,Sales,Sales Executive,10,4682,3,2,2,4,3,3,2,No,No,Single,Travel_Frequently,7,7,1,9,6,3,0
447,47,Male,Research & Development,Research Director,5,18300,5,4,3,3,3,2,3,No,No,Married,Travel_Rarely,3,2,1,21,2,4,1
448,43,Female,Research & Development,Laboratory Technician,10,5257,4,3,2,3,3,2,4,No,No,Divorced,Travel_Frequently,9,7,0,9,3,1,1
449,27,Male,Sales,Sales Executive,1,6349,1,3,3,2,3,4,3,No,Yes,Married,Non-Travel,5,4,4,6,0,0,1
450,54,Female,Research & Development,Research Scientist,20,4869,4,4,3,3,3,4,2,No,No,Single,Travel_Frequently,4,3,3,20,4,3,0
451,43,Female,Research & Development,Healthcare Representative,7,9985,3,3,3,1,3,1,2,No,No,Married,Travel_Rarely,1,0,0,10,1,8,1
452,45,Male,Research & Development,Research Scientist,8,3697,4,4,3,4,3,1,3,No,No,Married,Travel_Rarely,10,9,8,12,3,9,2
453,40,Male,Sales,Sales Executive,1,7457,2,2,1,4,4,3,2,No,Yes,Married,Travel_Rarely,4,3,2,6,2,2,3
454,29,Male,Research & Development,Laboratory Technician,8,2119,4,2,1,1,3,4,2,Yes,Yes,Married,Travel_Rarely,7,7,7,7,4,1,0
455,29,Male,Research & Development,Laboratory Technician,9,3983,5,2,2,4,3,3,3,No,No,Single,Travel_Rarely,3,2,2,4,2,0,0
456,30,Female,Sales,Sales Executive,5,6118,3,4,2,3,3,3,3,No,No,Divorced,Travel_Rarely,10,9,2,10,2,1,3
458,27,Female,Sales,Sales Executive,8,6214,4,2,3,2,3,1,3,No,No,Married,Travel_Rarely,8,7,7,8,3,1,1
460,37,Male,Research & Development,Manufacturing Director,5,6347,2,4,3,4,3,3,2,No,No,Divorced,Travel_Rarely,6,2,4,8,2,7,2
461,38,Male,Research & Development,Research Director,15,11510,2,3,2,4,3,2,3,No,Yes,Divorced,Travel_Rarely,11,10,9,12,3,0,1
462,31,Female,Research & Development,Manufacturing Director,7,7143,4,3,3,4,3,3,2,No,Yes,Single,Travel_Rarely,11,9,10,11,2,1,0
463,29,Female,Sales,Sales Executive,10,8268,1,4,2,2,3,1,3,No,Yes,Divorced,Travel_Rarely,7,7,7,7,2,1,2
464,35,Male,Research & Development,Manufacturing Director,5,8095,4,3,3,2,3,4,3,No,No,Single,Travel_Rarely,16,6,13,17,5,0,0
465,23,Male,Research & Development,Research Scientist,26,2904,1,3,3,4,3,3,2,No,No,Divorced,Travel_Rarely,4,2,2,4,2,1,2
466,41,Male,Research & Development,Manufacturing Director,6,6032,3,4,2,2,3,4,3,No,Yes,Single,Travel_Rarely,5,4,2,8,3,6,0
467,47,Male,Sales,Sales Representative,4,2976,1,2,3,3,3,1,3,No,No,Single,Travel_Frequently,0,0,0,5,3,3,0
468,42,Female,Research & Development,Research Director,23,15992,5,1,3,4,3,2,3,No,No,Single,Travel_Rarely,1,0,0,16,2,2,0
469,29,Male,Sales,Sales Executive,2,4649,3,4,3,3,3,1,2,No,No,Married,Non-Travel,4,3,2,4,3,1,1
470,42,Male,Human Resources,Human Resources,2,2696,1,3,3,3,3,3,3,No,Yes,Divorced,Travel_Rarely,3,2,0,4,5,0,1
471,32,Female,Research & Development,Laboratory Technician,2,2370,3,3,3,2,3,3,3,No,No,Married,Travel_Rarely,8,0,7,8,4,1,1
473,48,Female,Sales,Manager,29,12504,1,1,3,3,4,2,1,No,No,Married,Travel_Rarely,0,0,0,15,3,3,1
474,37,Male,Research & Development,Research Scientist,6,5974,3,3,4,1,3,1,3,No,Yes,Divorced,Travel_Rarely,7,7,7,13,2,4,2
475,30,Female,Sales,Sales Executive,25,4736,2,4,3,3,3,2,4,No,Yes,Married,Non-Travel,2,2,2,4,2,7,1
476,26,Male,Sales,Sales Executive,1,5296,3,3,3,3,3,2,3,No,No,Married,Travel_Rarely,8,7,7,8,3,1,1
477,42,Male,Research & Development,Healthcare Representative,2,6781,4,1,2,4,4,2,3,No,No,Single,Travel_Rarely,1,0,0,14,6,3,0
478,21,Female,Sales,Sales Representative,1,2174,1,1,2,2,3,3,3,Yes,Yes,Single,Travel_Frequently,3,2,2,3,3,1,0
479,36,Female,Sales,Sales Executive,1,6653,5,4,3,4,3,2,3,No,No,Single,Non-Travel,1,0,0,7,6,4,0
481,36,Male,Sales,Sales Executive,3,9699,4,1,2,4,3,1,3,No,No,Married,Travel_Frequently,13,9,12,16,2,4,1
482,57,Male,Research & Development,Healthcare Representative,1,6755,4,4,3,3,3,3,3,No,No,Married,Travel_Rarely,3,2,2,15,2,2,0
483,40,Female,Research & Development,Laboratory Technician,10,2213,4,4,4,3,3,3,3,No,Yes,Married,Travel_Rarely,7,7,7,10,3,3,1
484,21,Male,Sales,Sales Representative,9,2610,2,1,3,4,4,3,2,No,No,Single,Non-Travel,3,2,2,3,3,1,0
485,33,Female,Sales,Sales Representative,5,2851,3,4,3,3,3,2,3,Yes,Yes,Single,Travel_Rarely,1,0,0,1,2,1,0
486,37,Female,Research & Development,Laboratory Technician,10,3452,3,3,3,1,4,2,3,No,No,Married,Travel_Rarely,5,4,3,17,3,6,1
487,46,Female,Research & Development,Manufacturing Director,7,5258,4,3,3,3,3,3,4,No,No,Married,Non-Travel,1,0,0,7,2,2,0
488,41,Male,Sales,Sales Executive,4,9355,3,1,3,2,3,3,3,Yes,No,Single,Travel_Frequently,8,7,7,8,5,1,0
491,50,Male,Research & Development,Healthcare Representative,10,10496,3,4,2,4,3,4,3,No,No,Single,Travel_Rarely,4,3,3,20,2,6,0
492,40,Male,Sales,Sales Executive,22,6380,2,3,2,3,3,1,3,Yes,Yes,Married,Travel_Rarely,6,4,0,8,6,2,2
493,31,Male,Research & Development,Research Scientist,9,2657,4,3,2,2,3,4,3,No,Yes,Single,Travel_Rarely,2,2,2,3,5,0,0
494,21,Female,Sales,Sales Representative,12,2716,3,3,4,2,3,4,3,Yes,No,Single,Travel_Rarely,1,0,0,1,0,1,0
495,29,Male,Research & Development,Research Scientist,23,2201,3,4,3,4,3,4,3,No,No,Single,Travel_Rarely,3,2,2,6,4,9,0
496,35,Male,Research & Development,Healthcare Representative,9,6540,4,3,2,2,3,3,3,No,No,Single,Travel_Rarely,1,1,0,10,5,9,0
497,27,Male,Research & Development,Laboratory Technician,1,3816,2,4,3,2,3,2,3,No,No,Divorced,Travel_Rarely,5,2,4,5,2,1,1
498,28,Male,Sales,Sales Executive,9,5253,4,2,3,4,3,4,3,No,No,Single,Travel_Rarely,7,5,7,7,1,1,0
499,49,Male,Research & Development,Healthcare Representative,7,10965,3,2,2,3,4,3,3,No,No,Single,Travel_Rarely,5,2,0,26,2,8,0
500,51,Female,Sales,Sales Executive,14,4936,2,3,3,4,3,3,2,No,No,Married,Travel_Rarely,7,7,7,18,2,4,1
501,36,Female,Research & Development,Research Scientist,2,2543,3,4,3,3,3,2,3,No,No,Married,Travel_Rarely,2,2,2,6,3,4,1
502,34,Male,Sales,Sales Executive,19,5304,3,1,4,4,3,2,2,Yes,Yes,Single,Non-Travel,5,2,4,9,3,8,0
505,55,Female,Research & Development,Manager,2,16659,3,3,3,4,3,3,3,No,Yes,Single,Travel_Rarely,5,4,2,30,2,2,0
507,24,Female,Sales,Sales Executive,10,4260,4,4,3,3,3,4,4,No,Yes,Divorced,Travel_Rarely,5,2,3,5,2,1,1
508,30,Male,Sales,Sales Representative,2,2476,1,3,3,2,3,1,3,No,No,Married,Travel_Rarely,1,0,0,1,3,1,1
510,26,Male,Research & Development,Research Scientist,3,3102,1,3,3,1,4,3,3,Yes,No,Single,Travel_Frequently,6,4,4,7,2,0,0
511,22,Female,Research & Development,Research Scientist,11,2244,3,1,3,2,3,4,3,No,No,Married,Travel_Rarely,2,1,2,2,1,1,1
513,36,Male,Sales,Sales Executive,2,7596,2,2,2,3,3,2,3,No,No,Married,Travel_Rarely,10,9,0,10,2,1,2
514,30,Male,Research & Development,Research Scientist,4,2285,3,3,3,4,4,3,3,Yes,Yes,Single,Travel_Frequently,1,0,0,3,4,9,0
515,37,Female,Research & Development,Laboratory Technician,14,3034,3,4,3,1,3,3,2,No,No,Divorced,Travel_Rarely,18,7,17,18,2,1,1
516,40,Female,Sales,Sales Executive,2,5715,2,4,3,2,3,3,3,No,No,Divorced,Travel_Rarely,5,4,3,8,5,7,2
517,42,Female,Research & Development,Laboratory Technician,1,2576,4,2,3,1,3,2,3,No,No,Divorced,Travel_Rarely,5,2,2,8,5,3,1
518,37,Male,Research & Development,Manufacturing Director,10,4197,4,3,3,2,3,4,2,No,Yes,Single,Travel_Rarely,1,0,1,18,2,2,0
